358.69 80.212
370.79 81.400
382.90 82.270
395.17 83.454
407.35 84.399
419.22 85.436
431.33 86.199
443.07 86.611
455.54 87.251
467.65 87.251
479.76 87.356
491.87 87.724
503.97 87.567
516.08 87.277
528.19 87.304
540.20 87.019
552.40 87.225
564.51 87.198
576.62 87.172
588.72 87.146
600.83 86.725
612.94 86.699
625.04 86.725
637.34 86.271
649.26 86.725
661.37 86.567
673.47 86.436
685.58 86.094
697.69 85.989
709.79 85.936
719.03 85.450
730.28 85.342
742.45 84.978
754.92 84.353
767.50 83.890
779.14 83.203
